I0710 09:16:44.468410       1 blobfuse.go:73] 
DRIVER INFORMATION:
-------------------
Build Date: "2019-07-09T06:23:48Z"
Compiler: gc
Driver Name: blobfuse.csi.azure.com
Driver Version: v0.2.0
Git Commit: 6cf17ce8561c7d4f4a634ac6336db3e18cd766bb
Go Version: go1.12.1
Platform: linux/amd64

Streaming logs below:
I0710 09:18:06.159351       1 utils.go:112] GRPC call: /csi.v1.Identity/Probe
I0710 09:18:06.159376       1 utils.go:113] GRPC request: 
I0710 09:18:06.159382       1 utils.go:119] GRPC response: ready:<value:true > 
I0710 09:18:36.158851       1 utils.go:112] GRPC call: /csi.v1.Identity/Probe
I0710 09:18:36.159020       1 utils.go:113] GRPC request: 
I0710 09:18:36.159039       1 utils.go:119] GRPC response: ready:<value:true > 
I0710 09:19:06.158778       1 utils.go:112] GRPC call: /csi.v1.Identity/Probe
I0710 09:19:06.158809       1 utils.go:113] GRPC request: 
I0710 09:19:06.158815       1 utils.go:119] GRPC response: ready:<value:true > 
I0710 09:19:30.489346       1 utils.go:112] GRPC call: /csi.v1.Identity/GetPluginCapabilities
I0710 09:19:30.489369       1 utils.go:113] GRPC request: 
I0710 09:19:30.489376       1 identityserver.go:58] Using default capabilities
I0710 09:19:30.489465       1 utils.go:119] GRPC response: capabilities:<service:<type:CONTROLLER_SERVICE > > 
I0710 09:19:30.489941       1 utils.go:112] GRPC call: /csi.v1.Controller/ControllerGetCapabilities
I0710 09:19:30.489956       1 utils.go:113] GRPC request: 
I0710 09:19:30.489961       1 controllerserver.go:216] Using default ControllerGetCapabilities
I0710 09:19:30.489965       1 utils.go:119] GRPC response: capabilities:<rpc:<type:CREATE_DELETE_VOLUME > > 
I0710 09:19:30.490464       1 utils.go:112] GRPC call: /csi.v1.Identity/GetPluginInfo
I0710 09:19:30.490481       1 utils.go:113] GRPC request: 
I0710 09:19:30.490487       1 identityserver.go:32] Using default GetPluginInfo
I0710 09:19:30.490492       1 utils.go:119] GRPC response: name:"blobfuse.csi.azure.com" vendor_version:"v0.2.0" 
I0710 09:19:30.494563       1 utils.go:112] GRPC call: /csi.v1.Controller/DeleteVolume
I0710 09:19:30.494579       1 utils.go:113] GRPC request: volume_id:"mc_andy-virtualnode_andy-virtualnode_eastus2#f552731369e2711e986302a#test" 
I0710 09:19:30.555707       1 controllerserver.go:152] deleting container(test) rg(mc_andy-virtualnode_andy-virtualnode_eastus2) account(f552731369e2711e986302a) volumeID(mc_andy-virtualnode_andy-virtualnode_eastus2#f552731369e2711e986302a#test)
I0710 09:19:30.588993       1 controllerserver.go:165] container(test) under rg(mc_andy-virtualnode_andy-virtualnode_eastus2) account(f552731369e2711e986302a) volumeID(mc_andy-virtualnode_andy-virtualnode_eastus2#f552731369e2711e986302a#test) is deleted successfully
I0710 09:19:30.589032       1 utils.go:119] GRPC response: 
I0710 09:19:36.158962       1 utils.go:112] GRPC call: /csi.v1.Identity/Probe
I0710 09:19:36.158983       1 utils.go:113] GRPC request: 
I0710 09:19:36.158988       1 utils.go:119] GRPC response: ready:<value:true > 
I0710 09:20:06.159023       1 utils.go:112] GRPC call: /csi.v1.Identity/Probe
I0710 09:20:06.159147       1 utils.go:113] GRPC request: 
I0710 09:20:06.159206       1 utils.go:119] GRPC response: ready:<value:true > 
